mag_x_ut,mag_y_ut,mag_z_ut
969.1112971215131,120.30116379425515,-426.1831436300718
880.2326468644869,97.74024967627926,-548.0075475529773
880.2326468644869,97.74024967627926,-548.0075475529773
788.9189892754832,109.48345454256872,-674.1976308542162
788.9189892754832,109.48345454256872,-674.1976308542162
665.7521090849049,186.53705507946947,-780.866450267969
665.7521090849049,186.53705507946947,-780.866450267969
535.7211898518117,264.17427223694676,-869.0679816926062
535.7211898518117,264.17427223694676,-869.0679816926062
431.94616685244597,214.20107126123744,-960.4288473042741
431.94616685244597,214.20107126123744,-960.4288473042741
340.2413335403212,127.11670703623659,-993.8299292486723
340.2413335403212,127.11670703623659,-993.8299292486723
278.3437169900834,86.42130572893885,-1050.5432906019018
278.3437169900834,86.42130572893885,-1050.5432906019018
205.0580296919308,-105.34277729556966,-1050.5340580962977
205.0580296919308,-105.34277729556966,-1050.5340580962977
205.0580296919308,-105.34277729556966,-1050.5340580962977
177.54963778112892,-374.9203391430267,-971.94990182876
177.54963778112892,-374.9203391430267,-971.94990182876
140.91080328936974,-549.1305772454635,-872.1629737590472
140.91080328936974,-549.1305772454635,-872.1629737590472
187.4013994176837,-681.6581684978793,-720.9852376892957
187.4013994176837,-681.6581684978793,-720.9852376892957
247.24190972416454,-821.8567743784668,-501.5844477463468
247.24190972416454,-821.8567743784668,-501.5844477463468
355.2525125961477,-869.2389794433777,-226.39063198807847
355.2525125961477,-869.2389794433777,-226.39063198807847
490.2144824381368,-809.3123182622563,94.16723152824272
490.2144824381368,-809.3123182622563,94.16723152824272
596.130077590633,-613.3565430481467,372.34458958085327
596.130077590633,-613.3565430481467,372.34458958085327
658.9481442481868,-415.8824379412345,532.104989337804
658.9481442481868,-415.8824379412345,532.104989337804
671.1847608849214,-166.5857411093354,631.7902332813181
671.1847608849214,-166.5857411093354,631.7902332813181
677.2870526271612,-23.224917918311522,656.7825916956804
677.2870526271612,-23.224917918311522,656.7825916956804
667.7564597424539,67.40578250344873,649.2332773928061
667.7564597424539,67.40578250344873,649.2332773928061
695.253093134973,194.0650946899301,591.7616628554262
695.253093134973,194.0650946899301,591.7616628554262
719.4532014632124,296.3510188049712,515.9463286099037
719.4532014632124,296.3510188049712,515.9463286099037
719.4532014632124,296.3510188049712,515.9463286099037
712.7857411596127,405.0750889218052,441.059451237533
712.7857411596127,405.0750889218052,441.059451237533
742.8319679133598,474.1699005658377,339.6123659522667
742.8319679133598,474.1699005658377,339.6123659522667
750.3798423910697,539.5620986056848,181.9523972024221
750.3798423910697,539.5620986056848,181.9523972024221
789.5918713228798,559.0100753012343,20.79225643118668
789.5918713228798,559.0100753012343,20.79225643118668
825.8489204620898,553.9292321160674,-39.0236299481486
825.8489204620898,553.9292321160674,-39.0236299481486
839.4123915183425,518.262736853312,-89.87313442460032
839.4123915183425,518.262736853312,-89.87313442460032
939.4592232281976,397.8478396493503,-84.25057164753355
939.4592232281976,397.8478396493503,-84.25057164753355
971.3124041083096,279.91197525965634,-152.82804885199684
971.3124041083096,279.91197525965634,-152.82804885199684
979.3525377124558,156.75589393369265,-252.50017107220873
979.3525377124558,156.75589393369265,-252.50017107220873
945.6858369249795,23.44028628109286,-388.97190960223713
945.6858369249795,23.44028628109286,-388.97190960223713
873.4546697690222,-45.1335140604703,-488.5076777036191
873.4546697690222,-45.1335140604703,-488.5076777036191
823.5252529603321,-161.4102648190689,-478.1494177670469
823.5252529603321,-161.4102648190689,-478.1494177670469
823.5252529603321,-161.4102648190689,-478.1494177670469
781.2028077675528,-295.8995001191429,-450.80504119103574
781.2028077675528,-295.8995001191429,-450.80504119103574
765.3198836709574,-335.86863524136925,-427.04365410385157
765.3198836709574,-335.86863524136925,-427.04365410385157
765.354078325534,-365.7428483768685,-365.3117215887904
765.354078325534,-365.7428483768685,-365.3117215887904
770.8185005972296,-406.7771635661333,-341.3562113359272
770.8185005972296,-406.7771635661333,-341.3562113359272
782.722399996356,-403.68664958607803,-278.1153152408695
